,timestamp,latitude,longitude
0,1557274207854,36.3737794,127.35721029999999
1,1557274267935,36.373821,127.35718090000002
2,1557274439100,36.37374570000001,127.3571652
3,1557274489940,36.3737885,127.3571841
4,1557274949391,36.373724200000005,127.35727609999999
5,1557275001368,36.373778,127.35721219999999
6,1557275636000,36.3738283,127.357225
7,1557275688538,36.3737826,127.35720559999999
8,1557276136688,36.3737359,127.35725659999999
9,1557276188737,36.373781799999996,127.35720570000001
10,1557277592000,36.37340089999999,127.3573794
11,1557277642000,36.373863799999995,127.3572013
12,1557277702694,36.374047,127.35718329999999
13,1557277753251,36.3737886,127.3572043
14,1557277884340,36.37374260000001,127.35720819999999
15,1557277975477,36.373787799999995,127.35720409999999
16,1557278096000,36.373856700000005,127.35719850000001
17,1557278168000,36.3738102,127.3571962
18,1557278219000,36.3739268,127.357198
19,1557278334000,36.373874,127.35720359999999
20,1557278384885,36.3738265,127.3572012
21,1557278556645,36.3737819,127.3572165
22,1557278663672,36.3737294,127.35719209999999
23,1557278714360,36.373786100000004,127.3572119
24,1557278765666,36.373739799999996,127.35729380000001
25,1557278805825,36.373718700000005,127.3574803
26,1557278845024,36.3733843,127.35780049999998
27,1557278878567,36.373341100000005,127.358306
28,1557278883916,36.373462599999996,127.3600548
29,1557278896329,36.3736903,127.3610592
30,1557278904748,36.373562,127.36172340000002
31,1557278909608,36.373465700000004,127.3618371
32,1557278917515,36.373383399999994,127.3620298
33,1557278949830,36.3732263,127.36219240000001
34,1557278961211,36.3732318,127.3623071
35,1557278965405,36.3732359,127.36236909999998
36,1557278980161,36.3732524,127.36244369999999
37,1557279028562,36.3732433,127.36245
38,1557279109284,36.3733158,127.36242069999999
39,1557279160192,36.3732529,127.36244779999998
40,1557279341140,36.3733,127.3624692
41,1557279397040,36.373245700000005,127.36244180000001
42,1557279878000,36.3732981,127.362445
43,1557279929000,36.3742025,127.36235990000002
44,1557279979000,36.3740343,127.36233100000001
45,1557280029000,36.3732506,127.3624453
46,1557280080000,36.3734089,127.36254869999999
47,1557280167000,36.3734565,127.36254620000001
48,1557280217000,36.373323299999996,127.3624539
49,1557280267000,36.373274,127.362448
50,1557280324000,36.373315500000004,127.362471
51,1557280389000,36.3732631,127.3624523
52,1557280425000,36.3732665,127.3624514
53,1557280464094,36.373252,127.3624476
54,1557280521000,36.3732984,127.3624481
55,1557280534000,36.3732577,127.3624442
56,1557280560000,36.3732551,127.3624505
57,1557281119000,36.373332899999994,127.36245929999998
58,1557281169000,36.3735412,127.3625049
59,1557281224244,36.3732458,127.3624375
60,1557281469000,36.3733234,127.3624574
61,1557281519000,36.3735421,127.3625078
62,1557281570000,36.3732562,127.36244270000002
63,1557283668621,36.3732354,127.3623658
64,1557283668621,36.3732354,127.3623658
65,1557283673616,36.373223700000004,127.3623034
66,1557283677983,36.3732405,127.36223490000002
67,1557283680000,36.3732631,127.36217859999998
68,1557283683000,36.3733083,127.36211540000001
69,1557283692000,36.3733566,127.3620557
70,1557283698000,36.3733555,127.3621138
71,1557283738693,36.3734222,127.36201559999999
72,1557283775475,36.373447799999994,127.3619628
73,1557283783000,36.373489500000005,127.36178629999999
74,1557283789738,36.3734851,127.361622
75,1557283795011,36.3735151,127.36157209999999
76,1557283798156,36.373730200000004,127.3611331
77,1557283805042,36.373844299999995,127.3608753
78,1557283810189,36.3738302,127.3606775
79,1557283815253,36.373763200000006,127.36067720000001
80,1557283820192,36.3736902,127.36071499999998
81,1557283827960,36.373579,127.3602555
82,1557283843674,36.3738464,127.3595038
83,1557283859033,36.373626200000004,127.35931380000001
84,1557283868322,36.373712,127.3591345
85,1557283872994,36.3736445,127.35943229999998
86,1557283878286,36.3735865,127.3594085
87,1557283883356,36.3735849,127.3592881
88,1557283893652,36.3736234,127.359378
89,1557283903075,36.373639000000004,127.35923700000001
90,1557283918103,36.3737305,127.3592575
91,1557283963613,36.3737877,127.35924640000002
92,1557283978222,36.373797100000004,127.3593263
93,1557284053110,36.3737525,127.3593092
94,1557284095000,36.3737559,127.3593117
95,1557285152451,36.3737502,127.3593047
96,1557285218298,36.37375170000001,127.35913570000001
97,1557285222189,36.3735825,127.3585348
98,1557285267612,36.3735865,127.35767720000001
99,1557285303034,36.3734832,127.35758329999999
100,1557285312204,36.373501399999995,127.35745690000002
101,1557285322890,36.3736436,127.3575192
102,1557285327270,36.3737016,127.3575919
103,1557285332838,36.3737341,127.3575008
104,1557285342223,36.3737309,127.35735220000001
105,1557285347991,36.373743100000006,127.35745530000001
106,1557285461973,36.3737251,127.35724950000001
107,1557285464328,36.3737703,127.35720590000001
108,1557285483000,36.3737361,127.35729450000001
109,1557285484000,36.373704100000005,127.3573482
110,1557285485000,36.3736016,127.35751929999999
111,1557285487000,36.373593299999996,127.35742859999999
112,1557285488000,36.3736156,127.35736370000001
113,1557285489000,36.3736475,127.35733259999999
114,1557285539000,36.3737773,127.35722209999999
115,1557286819000,36.3737367,127.3572503
116,1557286870281,36.3737809,127.35721409999998
117,1557287007548,36.373731,127.357242
118,1557287057901,36.3737854,127.3571939
119,1557287198626,36.373743700000006,127.3572186
120,1557287512359,36.37379129999999,127.3572058
121,1557287614843,36.373754299999995,127.3572413
122,1557287641395,36.3737527,127.35740049999998
123,1557287661650,36.373794000000004,127.3574986
124,1557287675257,36.3737478,127.35748390000002
125,1557287679000,36.3737035,127.3575024
126,1557287685000,36.373526700000006,127.3575321
127,1557287689000,36.373473600000004,127.3575117
128,1557287698000,36.373506299999995,127.35755759999999
129,1557287701414,36.3735456,127.3576028
